Variable,Value
x_Customer_1_Steel_Plant,1.0
y_Customer_1_Steel_Plant_1,1000.0000000000001
y_Customer_1_Steel_Plant_2,1000.0000000000001
y_Customer_1_Steel_Plant_3,1000.0000000000001
y_Customer_1_Steel_Plant_4,1000.0000000000001
y_Customer_1_Steel_Plant_5,1000.0000000000001
y_Customer_1_Steel_Plant_6,1000.0
y_Customer_1_Steel_Plant_7,1000.0000000000001
y_Customer_1_Steel_Plant_8,1000.0000000000001
y_Customer_1_Steel_Plant_9,1000.0000000000001
y_Customer_1_Steel_Plant_10,999.9999999999992
y_Customer_1_Steel_Plant_11,999.9999999999992
y_Customer_1_Steel_Plant_12,1000.0000000000001
y_Customer_1_Steel_Plant_13,1000.0
y_Customer_1_Steel_Plant_14,1000.0
y_Customer_1_Steel_Plant_15,1000.0
y_Customer_1_Steel_Plant_16,1000.0
y_Customer_1_Steel_Plant_17,1000.0
y_Customer_1_Steel_Plant_18,1000.0
y_Customer_1_Steel_Plant_19,1000.0
y_Customer_1_Steel_Plant_20,1000.0
y_Customer_1_Steel_Plant_21,1000.0
y_Customer_1_Steel_Plant_22,1000.0
y_Customer_1_Steel_Plant_23,1000.0
y_Customer_1_Steel_Plant_24,1000.0
y_Customer_1_Steel_Plant_25,1000.0
y_Customer_1_Steel_Plant_26,1000.0
y_Customer_1_Steel_Plant_27,1000.0
y_Customer_1_Steel_Plant_28,1000.0
y_Customer_1_Steel_Plant_29,1000.0
y_Customer_1_Steel_Plant_30,1000.0
x_Customer_2_Chemical_Plant,1.0
y_Customer_2_Chemical_Plant_1,500.0
y_Customer_2_Chemical_Plant_2,500.0
y_Customer_2_Chemical_Plant_3,500.0
y_Customer_2_Chemical_Plant_4,500.0
y_Customer_2_Chemical_Plant_5,500.0
y_Customer_2_Chemical_Plant_6,500.0
y_Customer_2_Chemical_Plant_7,500.0
y_Customer_2_Chemical_Plant_8,500.0
y_Customer_2_Chemical_Plant_9,500.0
y_Customer_2_Chemical_Plant_10,500.0
y_Customer_2_Chemical_Plant_11,500.0
y_Customer_2_Chemical_Plant_12,500.0
y_Customer_2_Chemical_Plant_13,500.0
y_Customer_2_Chemical_Plant_14,500.0
y_Customer_2_Chemical_Plant_15,500.0
y_Customer_2_Chemical_Plant_16,500.0
y_Customer_2_Chemical_Plant_17,500.0
y_Customer_2_Chemical_Plant_18,500.0
y_Customer_2_Chemical_Plant_19,500.0
y_Customer_2_Chemical_Plant_20,500.0
y_Customer_2_Chemical_Plant_21,500.0
y_Customer_2_Chemical_Plant_22,500.0
y_Customer_2_Chemical_Plant_23,500.0
y_Customer_2_Chemical_Plant_24,500.0
y_Customer_2_Chemical_Plant_25,500.0
y_Customer_2_Chemical_Plant_26,500.0
y_Customer_2_Chemical_Plant_27,500.0
y_Customer_2_Chemical_Plant_28,500.0
y_Customer_2_Chemical_Plant_29,500.0
y_Customer_2_Chemical_Plant_30,500.0
x_Customer_3_Airport,1.0
y_Customer_3_Airport_1,339.3957641342555
y_Customer_3_Airport_2,339.3957641342555
y_Customer_3_Airport_3,339.3957641342555
y_Customer_3_Airport_4,339.3957641342555
y_Customer_3_Airport_5,339.3957641342555
y_Customer_3_Airport_6,339.3957641342555
y_Customer_3_Airport_7,339.3957641342555
y_Customer_3_Airport_8,339.3957641342555
y_Customer_3_Airport_9,339.3957641342555
y_Customer_3_Airport_10,339.3957641342555
y_Customer_3_Airport_11,339.3957641342555
y_Customer_3_Airport_12,339.3957641342555
y_Customer_3_Airport_13,339.3957641342556
y_Customer_3_Airport_14,339.3957641342556
y_Customer_3_Airport_15,339.3957641342556
y_Customer_3_Airport_16,339.3957641342555
y_Customer_3_Airport_17,339.39576413425556
y_Customer_3_Airport_18,339.3957641342556
y_Customer_3_Airport_19,339.39576413425556
y_Customer_3_Airport_20,339.3957641342556
y_Customer_3_Airport_21,339.3957641342556
y_Customer_3_Airport_22,339.3957641342556
y_Customer_3_Airport_23,339.3957641342556
y_Customer_3_Airport_24,339.3957641342556
y_Customer_3_Airport_25,339.39576413425556
y_Customer_3_Airport_26,339.39576413425556
y_Customer_3_Airport_27,339.3957641342551
y_Customer_3_Airport_28,339.39576413425556
y_Customer_3_Airport_29,339.39576413425556
y_Customer_3_Airport_30,339.39576413425556
x1,0.0
x2,1.0
x_point_source,0.0
x_dac,1.0
x_ammonia_splitting,1.0
point_source_amount,0.0
dac_amount,88242.89867490645
init_investment,1818181818.181818
capacity_photovoltaic,0.0
capacity_wind,0.452472587468265
capacity_PEM_electrolyzer,0.2869562325394882
capacity_alkaline_electrolyzer,0.0
capacity_FT_synthesis,0.06063193848376379
capacity_ammonia_synthesis,0.2722562306139633
capacity_ammonia_splitting,0.20883664664643406
capacity_battery,0.5516997570305592
