Variable,Value
x_Customer_1_Steel_Plant,1.0
y_Customer_1_Steel_Plant_1,1000.0
y_Customer_1_Steel_Plant_2,1000.0
y_Customer_1_Steel_Plant_3,1000.0
y_Customer_1_Steel_Plant_4,1000.0
y_Customer_1_Steel_Plant_5,1000.0
y_Customer_1_Steel_Plant_6,1000.0
y_Customer_1_Steel_Plant_7,1000.0
y_Customer_1_Steel_Plant_8,1000.0
y_Customer_1_Steel_Plant_9,1000.0
y_Customer_1_Steel_Plant_10,1000.0
y_Customer_1_Steel_Plant_11,1000.0
y_Customer_1_Steel_Plant_12,1000.0
y_Customer_1_Steel_Plant_13,1000.0
y_Customer_1_Steel_Plant_14,1000.0
y_Customer_1_Steel_Plant_15,1000.0
y_Customer_1_Steel_Plant_16,1000.0
y_Customer_1_Steel_Plant_17,1000.0
y_Customer_1_Steel_Plant_18,1000.0
y_Customer_1_Steel_Plant_19,1000.0
y_Customer_1_Steel_Plant_20,1000.0
y_Customer_1_Steel_Plant_21,1000.0
y_Customer_1_Steel_Plant_22,1000.0
y_Customer_1_Steel_Plant_23,1000.0
y_Customer_1_Steel_Plant_24,1000.0
y_Customer_1_Steel_Plant_25,1000.0
y_Customer_1_Steel_Plant_26,1000.0
y_Customer_1_Steel_Plant_27,1000.0
y_Customer_1_Steel_Plant_28,1000.0
y_Customer_1_Steel_Plant_29,1000.0
y_Customer_1_Steel_Plant_30,1000.0
x_Customer_2_Chemical_Plant,1.0
y_Customer_2_Chemical_Plant_1,500.0
y_Customer_2_Chemical_Plant_2,500.0
y_Customer_2_Chemical_Plant_3,500.0
y_Customer_2_Chemical_Plant_4,500.0
y_Customer_2_Chemical_Plant_5,500.0
y_Customer_2_Chemical_Plant_6,500.0
y_Customer_2_Chemical_Plant_7,500.0
y_Customer_2_Chemical_Plant_8,500.0
y_Customer_2_Chemical_Plant_9,500.0
y_Customer_2_Chemical_Plant_10,500.0
y_Customer_2_Chemical_Plant_11,500.0
y_Customer_2_Chemical_Plant_12,500.0
y_Customer_2_Chemical_Plant_13,500.0
y_Customer_2_Chemical_Plant_14,500.0
y_Customer_2_Chemical_Plant_15,500.0
y_Customer_2_Chemical_Plant_16,500.0
y_Customer_2_Chemical_Plant_17,500.0
y_Customer_2_Chemical_Plant_18,500.0
y_Customer_2_Chemical_Plant_19,500.0
y_Customer_2_Chemical_Plant_20,500.0
y_Customer_2_Chemical_Plant_21,500.0
y_Customer_2_Chemical_Plant_22,500.0
y_Customer_2_Chemical_Plant_23,500.0
y_Customer_2_Chemical_Plant_24,500.0
y_Customer_2_Chemical_Plant_25,500.0
y_Customer_2_Chemical_Plant_26,500.0
y_Customer_2_Chemical_Plant_27,500.0
y_Customer_2_Chemical_Plant_28,500.0
y_Customer_2_Chemical_Plant_29,500.0
y_Customer_2_Chemical_Plant_30,500.0
x_Customer_3_Airport,-0.0
y_Customer_3_Airport_1,0.0
y_Customer_3_Airport_2,0.0
y_Customer_3_Airport_3,0.0
y_Customer_3_Airport_4,0.0
y_Customer_3_Airport_5,0.0
y_Customer_3_Airport_6,0.0
y_Customer_3_Airport_7,0.0
y_Customer_3_Airport_8,0.0
y_Customer_3_Airport_9,0.0
y_Customer_3_Airport_10,0.0
y_Customer_3_Airport_11,0.0
y_Customer_3_Airport_12,0.0
y_Customer_3_Airport_13,0.0
y_Customer_3_Airport_14,0.0
y_Customer_3_Airport_15,0.0
y_Customer_3_Airport_16,0.0
y_Customer_3_Airport_17,0.0
y_Customer_3_Airport_18,0.0
y_Customer_3_Airport_19,0.0
y_Customer_3_Airport_20,0.0
y_Customer_3_Airport_21,0.0
y_Customer_3_Airport_22,0.0
y_Customer_3_Airport_23,0.0
y_Customer_3_Airport_24,0.0
y_Customer_3_Airport_25,0.0
y_Customer_3_Airport_26,0.0
y_Customer_3_Airport_27,0.0
y_Customer_3_Airport_28,0.0
y_Customer_3_Airport_29,0.0
y_Customer_3_Airport_30,0.0
x1,-0.0
x2,-0.0
x_helper_1,1.0
x_helper_2,-0.0
x_point_source,0.0
x_dac,0.0
x_ammonia_splitting,-0.0
point_source_amount,0.0
dac_amount,0.0
x_transport_hydrogen,1.0
x_transport_ammonia,1.0
x_transport_jetfuel,0.0
init_investment,1454968944.099379
capacity_photovoltaic,1.0093167701863355
capacity_wind,0.0
capacity_PEM_electrolyzer,0.7065217391304348
capacity_alkaline_electrolyzer,0.0
capacity_FT_synthesis,0.0
capacity_ammonia_synthesis,0.21739130434782608
capacity_ammonia_splitting,0.0
capacity_battery,0.0
NPV_t,Value
NPV_0,-727484472.0
NPV_1,-1388833992.0
NPV_2,-1162537857.0
NPV_3,-956814099.0
NPV_4,-769792500.0
NPV_5,-599772864.0
NPV_6,-445209559.0
NPV_7,-304697464.0
NPV_8,-176959196.0
NPV_9,-60833497.0
NPV_10,44735320.0
NPV_11,140706972.0
NPV_12,227953928.0
NPV_13,307269343.0
NPV_14,379374265.0
NPV_15,444924195.0
NPV_16,504515040.0
NPV_17,558688535.0
NPV_18,607937167.0
NPV_19,652708651.0
NPV_20,693410000.0
NPV_21,730411226.0
NPV_22,764048705.0
NPV_23,794628231.0
NPV_24,822427800.0
NPV_25,847700135.0
NPV_26,870674986.0
NPV_27,891561213.0
NPV_28,910548693.0
NPV_29,927810038.0
NPV_30,943502170.0
NPV_31,957767744.0
